Region,Date,Frequency,Estimated Unemployment Rate (%),Estimated Employed,Estimated Labour Participation Rate (%),Region.1,longitude,latitude,Month,Year
0,2020-01-31,0,5.48,16635535,41.02,3,15.9129,79.74,1,2020
0,2020-02-29,0,5.83,16545652,40.9,3,15.9129,79.74,2,2020
0,2020-03-31,0,5.79,15881197,39.18,3,15.9129,79.74,3,2020
0,2020-04-30,0,20.51,11336911,33.1,3,15.9129,79.74,4,2020
0,2020-05-31,0,17.43,12988845,36.46,3,15.9129,79.74,5,2020
0,2020-06-30,0,3.31,19805400,47.41,3,15.9129,79.74,6,2020
0,2020-07-31,0,8.34,15431615,38.91,3,15.9129,79.74,7,2020
0,2020-08-31,0,6.96,15251776,37.83,3,15.9129,79.74,8,2020
0,2020-09-30,0,6.4,15220312,37.47,3,15.9129,79.74,9,2020
0,2020-10-31,0,6.59,15157557,37.34,3,15.9129,79.74,10,2020
1,2020-01-31,0,4.66,13051904,52.98,2,26.2006,92.9376,1,2020
1,2020-02-29,0,4.41,10088268,40.77,2,26.2006,92.9376,2,2020
1,2020-03-31,0,4.77,11542888,46.73,2,26.2006,92.9376,3,2020
1,2020-04-30,0,11.06,6830817,29.55,2,26.2006,92.9376,4,2020
1,2020-05-31,0,9.55,11367897,48.26,2,26.2006,92.9376,5,2020
1,2020-06-30,0,0.6,9095944,35.07,2,26.2006,92.9376,6,2020
1,2020-07-31,0,3.77,10286757,40.88,2,26.2006,92.9376,7,2020
1,2020-08-31,0,5.53,9781310,39.52,2,26.2006,92.9376,8,2020
1,2020-09-30,0,1.19,14107641,54.38,2,26.2006,92.9376,9,2020
1,2020-10-31,0,3.02,11949329,46.84,2,26.2006,92.9376,10,2020
2,2020-01-31,0,10.61,26397671,37.72,0,25.0961,85.3131,1,2020
2,2020-02-29,0,10.29,26281655,37.35,0,25.0961,85.3131,2,2020
2,2020-03-31,0,15.43,25717519,38.69,0,25.0961,85.3131,3,2020
2,2020-04-30,0,46.64,16046236,38.17,0,25.0961,85.3131,4,2020
2,2020-05-31,0,45.96,16280203,38.16,0,25.0961,85.3131,5,2020
2,2020-06-30,0,17.82,23963933,36.86,0,25.0961,85.3131,6,2020
2,2020-07-31,0,12.79,24989370,36.14,0,25.0961,85.3131,7,2020
2,2020-08-31,0,13.44,23795534,34.59,0,25.0961,85.3131,8,2020
2,2020-09-30,0,11.91,26902907,38.35,0,25.0961,85.3131,9,2020
2,2020-10-31,0,9.82,25693252,35.7,0,25.0961,85.3131,10,2020
3,2020-01-31,0,9.65,8552172,43.08,4,21.2787,81.8661,1,2020
3,2020-02-29,0,8.38,9195114,45.58,4,21.2787,81.8661,2,2020
3,2020-03-31,0,7.54,9302317,45.59,4,21.2787,81.8661,3,2020
3,2020-04-30,0,3.41,7600448,35.58,4,21.2787,81.8661,4,2020
3,2020-05-31,0,10.5,6991217,35.23,4,21.2787,81.8661,5,2020
3,2020-06-30,0,14.23,7332807,38.48,4,21.2787,81.8661,6,2020
3,2020-07-31,0,10.27,8620294,43.14,4,21.2787,81.8661,7,2020
3,2020-08-31,0,5.63,9050422,42.97,4,21.2787,81.8661,8,2020
3,2020-09-30,0,1.96,9021854,41.14,4,21.2787,81.8661,9,2020
3,2020-10-31,0,6.62,8546847,40.82,4,21.2787,81.8661,10,2020
4,2020-01-31,0,22.23,5805284,47.79,1,28.7041,77.1025,1,2020
4,2020-02-29,0,14.84,5856307,43.92,1,28.7041,77.1025,2,2020
4,2020-03-31,0,17.04,5553805,42.65,1,28.7041,77.1025,3,2020
4,2020-04-30,0,16.68,3119274,23.8,1,28.7041,77.1025,4,2020
4,2020-05-31,0,42.27,2632404,28.91,1,28.7041,77.1025,5,2020
4,2020-06-30,0,18.19,4418914,34.17,1,28.7041,77.1025,6,2020
4,2020-07-31,0,20.3,4291053,33.97,1,28.7041,77.1025,7,2020
4,2020-08-31,0,13.79,4850107,35.41,1,28.7041,77.1025,8,2020
4,2020-09-30,0,12.53,4958373,35.59,1,28.7041,77.1025,9,2020
4,2020-10-31,0,6.27,4842698,32.36,1,28.7041,77.1025,10,2020
5,2020-01-31,0,8.89,416750,35.73,4,15.2993,74.124,1,2020
5,2020-02-29,0,2.81,478068,38.38,4,15.2993,74.124,2,2020
5,2020-03-31,0,5.25,411761,33.88,4,15.2993,74.124,3,2020
5,2020-04-30,0,13.31,500614,44.97,4,15.2993,74.124,4,2020
5,2020-05-31,0,21.25,378244,37.36,4,15.2993,74.124,5,2020
5,2020-06-30,0,9.96,489111,42.21,4,15.2993,74.124,6,2020
5,2020-07-31,0,17.07,458876,42.94,4,15.2993,74.124,7,2020
5,2020-08-31,0,16.21,473016,43.76,4,15.2993,74.124,8,2020
5,2020-09-30,0,15.38,425004,38.89,4,15.2993,74.124,9,2020
5,2020-10-31,0,11.54,392304,34.3,4,15.2993,74.124,10,2020
6,2020-01-31,0,5.54,24126346,48.49,4,22.2587,71.1924,1,2020
6,2020-02-29,0,6.38,24757795,50.11,4,22.2587,71.1924,2,2020
6,2020-03-31,0,6.66,23566641,47.75,4,22.2587,71.1924,3,2020
6,2020-04-30,0,18.71,15288878,35.5,4,22.2587,71.1924,4,2020
6,2020-05-31,0,12.11,17836936,38.23,4,22.2587,71.1924,5,2020
6,2020-06-30,0,3.2,23657055,45.96,4,22.2587,71.1924,6,2020
6,2020-07-31,0,1.84,24276120,46.41,4,22.2587,71.1924,7,2020
6,2020-08-31,0,1.87,22817232,43.55,4,22.2587,71.1924,8,2020
6,2020-09-30,0,3.42,25010199,48.41,4,22.2587,71.1924,9,2020
6,2020-10-31,0,4.03,25970259,50.49,4,22.2587,71.1924,10,2020
7,2020-01-31,0,20.34,7693231,43.36,1,29.0588,76.0856,1,2020
7,2020-02-29,0,25.77,7322942,44.21,1,29.0588,76.0856,2,2020
7,2020-03-31,0,25.05,6641555,39.63,1,29.0588,76.0856,3,2020
7,2020-04-30,0,43.22,5647630,44.38,1,29.0588,76.0856,4,2020
7,2020-05-31,0,29.02,6437868,40.39,1,29.0588,76.0856,5,2020
7,2020-06-30,0,26.7,6951934,42.14,1,29.0588,76.0856,6,2020
7,2020-07-31,0,24.18,6800652,39.77,1,29.0588,76.0856,7,2020
7,2020-08-31,0,33.5,7113788,47.32,1,29.0588,76.0856,8,2020
7,2020-09-30,0,19.68,7132439,39.2,1,29.0588,76.0856,9,2020
7,2020-10-31,0,27.31,6698551,40.6,1,29.0588,76.0856,10,2020
8,2020-01-31,0,16.83,2287632,45.5,1,31.1048,77.1734,1,2020
8,2020-02-29,0,16.84,2180268,43.3,1,31.1048,77.1734,2,2020
8,2020-03-31,0,18.76,2021858,41.04,1,31.1048,77.1734,3,2020
8,2020-04-30,0,2.2,1131128,19.04,1,31.1048,77.1734,4,2020
8,2020-05-31,0,26.95,1897639,42.7,1,31.1048,77.1734,5,2020
8,2020-06-30,0,13.47,2199683,41.72,1,31.1048,77.1734,6,2020
8,2020-07-31,0,24.31,2229456,48.25,1,31.1048,77.1734,7,2020
8,2020-08-31,0,15.79,2029740,39.42,1,31.1048,77.1734,8,2020
8,2020-09-30,0,12.04,2237480,41.54,1,31.1048,77.1734,9,2020
8,2020-10-31,0,13.46,2123965,40.01,1,31.1048,77.1734,10,2020
9,2020-01-31,0,21.08,3453025,42.2,1,33.7782,76.5762,1,2020
9,2020-02-29,0,20.78,3223513,39.17,1,33.7782,76.5762,2,2020
9,2020-03-31,0,15.5,3359107,38.18,1,33.7782,76.5762,3,2020
9,2020-05-31,0,18.74,3246493,38.21,1,33.7782,76.5762,5,2020
9,2020-06-30,0,17.92,3202336,37.24,1,33.7782,76.5762,6,2020
9,2020-07-31,0,10.88,3558889,38.03,1,33.7782,76.5762,7,2020
9,2020-08-31,0,11.09,3429950,36.66,1,33.7782,76.5762,8,2020
9,2020-09-30,0,16.17,3210281,36.31,1,33.7782,76.5762,9,2020
9,2020-10-31,0,16.14,3106691,35.05,1,33.7782,76.5762,10,2020
10,2020-01-31,0,10.61,10198029,42.92,0,23.6102,85.2799,1,2020
10,2020-02-29,0,11.85,10425425,44.4,0,23.6102,85.2799,2,2020
10,2020-03-31,0,8.23,9638115,39.34,0,23.6102,85.2799,3,2020
10,2020-04-30,0,47.09,5335262,37.69,0,23.6102,85.2799,4,2020
10,2020-05-31,0,59.23,4145385,37.92,0,23.6102,85.2799,5,2020
10,2020-06-30,0,20.95,8622722,40.59,0,23.6102,85.2799,6,2020
10,2020-07-31,0,7.63,9521900,38.27,0,23.6102,85.2799,7,2020
10,2020-08-31,0,9.76,9331640,38.31,0,23.6102,85.2799,8,2020
10,2020-09-30,0,8.24,10185670,41.04,0,23.6102,85.2799,9,2020
10,2020-10-31,0,11.8,10302276,43.08,0,23.6102,85.2799,10,2020
